account,smp,gpu,mpi,htc
pliu,1700000,0,1500000,0
kjordan,0,20000,0,0
ghutchison,1000000,10000,0,0
lchong,0,50000,100000,0
rcoalson,10000,0,0,0
dwaldeck,10000,0,0,0
kjohnson,1100000,30000,2100000,0
jdurrant,10000,0,0,0
jvandegeest,20000,0,0,20000
gmpourmpakis,1300000,0,3080000,0
jkeith,1040000,0,2160000,0
pgivi,100000,10000,1000000,0
cwilmer,700000,0,1000000,0
dlambrecht,50000,0,0,0
dzuckerman,10000,0,0,0
hwa,10000,0,0,0
jmccarthy,10000,0,0,0
mburton,10000,0,0,0
mganapathiraju,10000,0,0,0
sam,100000,100000,100000,100000
root,10000,0,0,0
pleu,10000,0,0,0
pmunro,10000,0,0,0
isigal,10000,0,0,0
bermentrout,10000,0,0,0
pwipf,10000,0,0,0
djiang,740000,0,0,0
wchoyke,10000,0,0,0
lis2678-2017s,10000,0,0,0
gwang,700000,0,2500000,0
nclark,0,0,0,10000
salbanesi,350000,30000,0,0
sadowsky,50000,0,30000,0
anaimi,10000,0,0,0
rmelhem,0,0,200000,0
walsaidi,1700000,100000,1400000,0
sperlman,10000,0,0,0
abalazs,1300000,50000,100000,0
slee,1200000,0,100000,0
nmiskov-zivanov,10000,0,0,0
abunger,60000,0,0,0
mchikina,0,0,0,10000
ssaxena,100000,25000,75000,0
isenocak,0,81000,2700000,0
dpekker,10000,0,0,0
gkitamura,10000,0,0,0
mbedewy,10000,0,0,0
rkrafty,10000,0,0,0
mcolaresi,10000,0,0,0
hhochheiser,215000,30000,0,0
chem1000-2017f,10000,0,0,0
hdaqing,1000000,100000,0,500000
aeljaroudi,10000,0,0,0
nsharma,10000,0,0,0
hhuang,10000,0,0,0
junyang,10000,0,0,0
workshops,100000,50000,50000,50000
asher,10000,0,0,0
sdickerson,0,24000,0,0
jmillstone,10000,0,0,0
hbabaee,0,0,10000,0
cs1645-2017s,10000,0,0,0
hban,0,0,0,10000
mbarry,100000,0,100000,0
jgillespie,10000,0,0,0
lwang,0,0,0,10000
rsingh,10000,0,0,0
wlayton,10000,0,0,0
nhan,10000,0,0,0
ling1340-2017f,10000,0,0,0
phys1321-2017f,10000,0,0,0
bigriggm,10000,0,0,0
rhwa,10000,0,0,0
bioeng2370_2017f,10000,0,0,0
biosc1540-2017f,10000,0,0,0
cs3580_2017f,10000,0,0,0
ece2195_2017f,10000,0,0,0
chorn,10000,0,0,0
tashman,10000,0,0,0
jwang,1700000,100000,1400000,0
dcole,10000,0,0,0
tbenos,10000,0,0,0
dtaylor,0,0,0,10000
kkoide,10000,0,0,0
dkoes,10000,0,0,0
jvries,10000,0,0,0
lmentch,50000,0,750000,0
ece2195_2018s,10000,0,0,0
shur,10000,0,0,0
rnarayanasamy,10000,0,0,0
biosc1540_2018s,10000,0,0,0
bandrews,10000,0,0,0
bmis2526_2018s,10000,0,0,0
dcoen,10000,0,0,0
hpetek,10000,0,0,0
xliang,10000,0,0,0
mwood-vasey,10000,0,0,0
wxiong,0,0,145000,0
slyengar,10000,0,0,0
webmo,20000,0,0,0
pyling,10000,0,0,0
tibrahim,1000000,50000,50000,1000000
sgarrettroe,10000,0,0,0
jhanson,0,0,0,34000
tmylovanov,10000,0,0,0
cs2770_s2018,10000,0,0,0
kehuichen,10000,0,0,0
mth,10000,0,0,0
azentner,10000,0,0,0
jkitzes,35000,15000,200000,0
dlitman,10000,0,0,0
dewing,10000,0,0,0
whcdh,10000,0,0,0
yurulin,10000,0,0,0
huiliu,10000,0,0,0
acarvunis,10000,0,0,0
agronenborn,10000,0,0,0
amanelis,10000,0,0,0
infsci2140-2018s,10000,0,0,0
math1103-2018s,10000,0,0,0
wchen,0,0,0,20000
cbadenes,10000,0,0,0
crunyan,918000,0,0,0
dhanley,0,0,0,10000
aberesteanu,60000,0,0,0
mripoll,10000,0,0,0
lis2678-2018su,10000,0,0,0
pbrusilovsky,10000,0,0,0
maklin,10000,0,0,0
eshelef,10000,0,0,0
rwalsh,10000,0,0,0
pmenon,1200000,0,0,0
ckammerer,10000,0,0,0
mstephens,10000,0,0,0
jlevy,10000,0,0,0
cssd,50000,0,0,0
rmong,10000,0,0,0
ajones,10000,0,0,0
lborghesi,10000,0,0,0
gchalasani,10000,0,0,0
westpa_2018w,10000,0,0,0
kkim,1029000,30000,0,0
alabrinidis,10000,0,0,0
dlebel,10000,0,0,0
hborovetz,10000,0,0,0
tyounghyman,10000,0,0,0
biosc1540_2018f,0,0,0,10000
rgihleb,10000,0,0,0
bioeng2370_2018f,10000,0,0,0
math2070_2018f,0,0,0,10000
eprochownik,0,0,0,10000
ltang,0,0,0,10000
me2054,0,0,0,10000
cs1645-2018f,10000,0,0,0
ogiuntella,10000,0,0,0
lzhan,10000,0,0,0
cmpinf0999_2018f,10000,0,0,0
ctseng,0,0,0,10000
than,10000,0,0,0
adallal,10000,0,0,0
tjacobs,10000,0,0,0
apoholek,0,0,0,100000
dberkowitz,10000,0,0,0
yding,0,0,0,10000
ghollibaugh,10000,0,0,0
ychen,10000,0,0,0
bhooks,10000,0,0,0
mhauskrecht,10000,0,0,0
nurban,20000,0,0,0
ptang,10000,0,0,0
yxu,10000,0,0,0
proy,10000,0,0,0
bzeng,5000,5000,0,0
jrubin,10000,0,0,0
astar,10000,0,0,0
mscbio2065-2018f,0,0,0,10000
mchmielus,125000,0,0,0
cng,400000,30000,0,0
moberbarnscheidt,10000,0,0,0
lgilbertson,20000,0,0,0
jmckone,0,0,659000,0
xjiang,10000,0,0,0
clcgenomics,0,0,0,500000
partek,0,0,0,10000
achattopadhyay,0,0,0,500000
ahoji,10000,0,0,0
akuipers,10000,0,0,0
alee,0,0,0,10000
awahed,0,0,0,50000
cchang,0,0,0,30000
ckang,0,0,0,500000
ciasella,10000,0,0,0
clo,0,0,0,240000
dgalson,10000,0,0,0
dnormolle,10000,0,0,0
dpeters,10000,0,0,0
dvignali,0,0,0,10000
dweeks,10000,0,0,0
dwhitcomb,10000,0,0,0
dyang,0,0,0,10000
fambrosio,0,0,0,10000
gcooper,10000,0,0,0
gdelgoffe,0,0,0,50000
ghatfull,0,0,0,10000
ghomanics,10000,0,0,0
grappocciolo,10000,0,0,0
gtang,10000,0,0,0
hpark,0,0,0,10000
hzarour,0,5000,0,100000
jboyle,0,0,0,10000
jgross,0,0,0,10000
jho,10000,0,0,0
jjeong,0,10000,0,70000
jlocker,10000,0,0,0
jmartinson,10000,0,0,0
jpipas,10000,0,0,0
jshoemaker,10000,0,0,0
jzmuda,0,0,0,10000
karndt,0,0,0,15000
kcuenco,10000,0,0,0
kongchen,10000,0,0,0
ktorok,0,0,0,40000
mbertolet,10000,0,0,0
mdeng,0,0,0,10000
mnicotra,0,0,0,241920
nlee,0,0,0,10000
oweisz,10000,0,0,0
pgrabowski,10000,0,0,0
rduerr,0,0,0,30000
rferris,0,0,0,830000
rlafyatis,0,0,0,10000
rminster,0,0,0,10000
rnicholls,0,0,0,10000
rsindhi,0,0,0,10000
rwatters,0,0,0,10000
schennubhotla,10000,0,0,0
sliu,0,0,0,225000
soesterreich,0,0,0,10000
tbruno,0,0,0,30000
tsmithgall,10000,0,0,0
uchandran,0,0,0,200000
xiaosongwang,0,0,0,493000
xlu,10000,0,0,0
ydi,10000,0,0,0
ylin,10000,0,0,0
ypark,10000,0,0,0
zurban,0,0,0,10000
jinman,10000,0,0,0
mshuda,0,0,0,10000
cs1645-2019s,10000,0,0,0
hosmanbeyoglu,45000,100000,0,0
ckaplan,5000,0,0,33000
ece2166_2019s,10000,0,0,0
amcelroy,10000,0,0,0
gclermont,10000,0,0,0
jstewartornstein,10000,0,0,0
iyotov,10000,0,0,0
rce-2019s,0,0,0,10000
jyabes,10000,0,0,0
apanigrahy,750000,0,0,0
dhuffman,10000,0,0,0
vsant,10000,0,0,0
wvanpanhuis,10000,0,0,0
shainer,0,0,0,75000
kwong,10000,0,0,0
galaxy,0,0,0,10000
hhwang,0,0,0,10000
cs2770_2019s,10000,0,0,0
jhu,1000,80000,0,0
speddada,0,0,0,10000
akosowsky,10000,0,0,0
mlee,10000,0,0,0
fmu,0,0,0,10000
dreed,10000,0,0,0
akovashka,0,0,0,10000
drajasundaram,0,0,0,10000
ycheng,0,0,1000000,0
rboyce,10000,0,0,0
arobertson,10000,0,0,0
ling1340-2019s,10000,0,0,0
asawalha,10000,0,0,0
kpelechrinis,0,0,0,10000
guangli,0,0,0,10000
wstauffer,0,0,0,500000
schan,10000,0,0,0
janetlee,10000,0,0,0
yconley,0,0,0,10000
dsun,10000,0,0,0
namankulor,10000,0,0,0
kbernstein,10000,0,0,0
vnimgaonkar,10000,0,0,0
opalmer,10000,0,0,0
jnewman,10000,0,0,0
ialdiri,10000,0,0,0
hturnquist,10000,0,0,0
mrebeiz,10000,0,0,0
jfan,10000,0,0,0
mcoutanche,10000,0,0,0
kashley,0,50000,0,0
tbilliar,0,0,0,135000
svelankar,75000,0,0,0
svisweswaran,10000,0,0,0
rgaunt,10000,0,0,0
asantanasto,0,0,0,10000
dkostka,5000,5000,0,0
blu,0,0,0,10000
hsingh,20000,0,20000,100000
ageorge,0,10000,100000,0
mcc,10000,0,0,0
jpu,0,50000,0,0
dswigon,480000,0,0,0
cdonnelly,10000,0,0,0
mlavin,10000,0,0,0
gveser,10000,0,0,0
kkohl,10000,0,0,0
pgaldi,10000,0,0,0
jbuchanich,10000,0,0,0
yliu,10000,0,0,0
lroberts,10000,0,0,0
rbataller,0,0,0,10000
thand,10000,0,0,0
sasher,10000,0,0,0
makcakaya,10000,0,0,0
jstephenson,10000,0,0,0
sstepp,10000,0,0,0
yzhang,10000,0,0,0
lbyrne,32000,0,0,93000
sabramowitch,550000,30000,0,0
kbeschorner,10000,0,0,0
zxia,10000,0,0,0
jleader,10000,0,0,0
schaparala,10000,0,0,0
dlandsittel,5000,0,0,5000
leb140g,10000,0,0,0
aray,10000,0,0,0
jelmer,10000,0,0,0
mhatridge,10000,0,0,0
me1071-2019s,100000,0,0,0
aodonnell,0,0,0,10000
rseal,0,0,0,10000
cliu,10000,0,0,0
jalcorn,0,0,0,10000
asilva,10000,0,0,0
hugen2070-2019f,100000,0,0,0
dsnoke,10000,0,0,0
klim,10000,0,0,0
bioeng1370_2019f,100000,0,0,0
ssammak,110000,0,0,0
cmpinfo010-2019f,10000,0,0,0
che2201-2019f,100000,0,0,0
ece2192_2019f,100000,0,0,0
cwang-erickson,10000,0,0,0
iheelee,10000,0,0,0
che2550_2019f,100000,0,0,0
bnindl,10000,0,0,0
gkohanbash,0,0,0,10000
bhu,0,0,0,40000
eowen,10000,0,0,0
hszaborogers,0,0,0,10000
rliu,0,0,0,10000
pfloreancig,10000,0,0,0
rbezanson,500000,0,3200000,0
rhsanchez,900000,0,0,0
sagnihotri,10000,0,0,0
thuppert,600000,0,0,0
jenwright,0,0,0,10000
rbao,0,0,0,256000
fshah,10000,0,0,0
aswiatecka-urban,0,0,0,10000
pdutta,10000,0,0,0
pszabolcs,0,0,0,10000
usachdev,0,0,0,10000
btaylor,0,0,0,10000
prizzo,10000,0,0,0
smonga,10000,0,0,0
tkuwajima,10000,0,0,0
ayatsenko,10000,0,0,0
sgaffen,0,0,0,10000
ekershaw,10000,0,0,0
ynikiforov,0,0,0,10000
ece2165-2019f,100000,0,0,0
rgottschalk,10000,0,0,0
mbrogers,0,0,0,10000
fmayr,0,0,0,10000
brousseau,10000,0,0,0
slu,0,0,0,10000
sli,0,0,0,10000
mscbio2065_2019f,10000,0,0,0
kkernan,10000,0,0,0
liuy,10000,0,0,0
shastings,10000,0,0,0
vliu,0,0,1240000,0
sfrolov,0,0,20000,0
bchandrasekaran,10000,0,0,0
rgmiller,10000,0,0,0
dgomez,0,0,0,10000
ukammula,0,0,0,10000
agough,0,0,0,10000
dyimlamai,0,0,0,10000
jcook,0,0,0,10000
aghuman,0,0,0,10000
hsantosa,10000,0,0,0
ldcruz,10000,0,0,0
nrosi,10000,0,0,0
apuccio,10000,0,0,0
bchen,10000,0,0,0
dshin,10000,0,0,0
me2075-1010f,10000,0,0,0
stephenlee,10000,0,0,0
ishrivastava,10000,0,0,0
tlezon,0,0,0,10000
tgreenberg,10000,0,0,0
mshlomchik,0,0,0,10000
hkarimi,0,0,0,10000
yoelsadovsky,10000,0,0,0
etbell,10000,0,0,0
rbuckanovich,10000,0,0,0
lfalo,10000,0,0,0
qmi,10000,0,0,0
lkane,10000,0,0,0
elagasse,0,0,0,10000
jmcdyer,10000,0,0,0
cs1699-2020s,0,0,0,10000
cs2770-2020s,0,0,0,10000
biosc1542-2020s,100000,0,0,0
jbwang,0,0,0,10000
xtang,50000,10000,0,0
econ2270-2020s,10000,0,0,0
jmyuan,10000,0,0,0
athomson,10000,0,0,0
sgao,0,0,0,10000
ece2166_2020s,100000,0,0,0
greed,10000,0,0,0
jhowell,10000,0,0,0
lpage,10000,0,0,0
qliu,10000,0,0,0
lkonnikova,0,0,0,10000
xqin,10000,0,0,0
nhukriede,0,0,0,10000
fschopfer,0,0,0,10000
fcyeh,10000,0,0,0
thooven,0,0,0,10000
msteinhauser,10000,0,0,0
pbenos,10000,0,0,0
djishnu,1000000,0,0,500000
qimingwang,0,0,0,10000
prandhawa,0,0,0,10000
dkass,0,0,0,10000
dvtyne,10000,0,0,0
agregory,10000,0,0,0
capetrei,10000,0,0,0
flakkis,0,0,0,10000
broman,10000,0,0,0
astleger,10000,0,0,0
sswamynathan,10000,0,0,0
sshapiro,10000,0,0,0
qpadiath,10000,0,0,0
jbecker,10000,0,0,0
pkinchington,10000,0,0,0
uparikh,10000,0,0,0
sahmari,10000,0,0,0
tlozito,10000,0,0,0
ifox,10000,0,0,0
hwang,10000,0,0,0
mboyiadzis,10000,0,0,0
sito,10000,0,0,0
jvockley,0,0,0,10000
xhu,10000,0,0,0
plucas,10000,0,0,0
czawacki,10000,0,0,0
bkuhn,10000,0,0,0
msnyder,10000,0,0,0
wshlomchik,10000,0,0,0
rosullivan,10000,0,0,0
jbomberger,10000,0,0,0
bmethe,10000,0,0,0
fhoma,10000,0,0,0
aghazi,10000,0,0,0
fdemirci,10000,0,0,0
mgauthier,10000,0,0,0
jcheng,10000,0,0,0
cimes,10000,0,0,0
jbina,10000,0,0,0
rhinterleitner,10000,0,0,0
hssc_chp,0,0,0,10000
zambrose,10000,0,0,0
rjha,10000,0,0,0
rmcenaney,10000,0,0,0
kweiss,10000,0,0,0
bkaufman,10000,0,0,0
ywu,10000,0,0,0
anewman,10000,0,0,0
ssarkar,10000,0,0,0
dsinha,10000,0,0,0
dkaplan,10000,0,0,0
kislam,10000,0,0,0
chilaire,10000,0,0,0
tchu,10000,0,0,0
scanna,10000,0,0,0
czou,10000,0,0,0
ccoyne,10000,0,0,0
ilefterov,10000,0,0,0
dlee,10000,0,0,0
upandey,10000,0,0,0
mladi,30000,0,0,0
sdasilva,10000,0,0,0
dma,10000,0,0,0
andrewduncan,10000,0,0,0
cbyersdorfer,10000,0,0,0
dmetes,0,0,0,10000
vyechoor,0,0,0,10000
cbakkenist,10000,0,0,0
nvo,10000,0,0,0
psmolinski,10000,0,0,0
tdermody,10000,0,0,0
popresko,10000,0,0,0
mlotze,10000,0,0,0
pmoore,10000,0,0,0
dgeller,10000,0,0,0
qyan,10000,0,0,0
innovation-institute,10000,0,0,0
jeisses,10000,0,0,0
wxie,10000,0,0,0
jluke,0,0,0,100000
kfrahm,10000,0,0,0
kshair,0,0,0,10000
amahajan,10000,0,0,0
ddefranco,10000,0,0,0
kempey,10000,0,0,0
rtan,10000,0,0,0
pmorel,10000,0,0,0
mtsang,10000,0,0,0
egoncharova,10000,0,0,0
whorne,10000,0,0,0
xwen,10000,0,0,0
gthomas,10000,0,0,0
skiani,10000,0,0,0
yarbely,0,0,0,10000
lkhazanovich,10000,0,0,0
ydoi,10000,0,0,0
jross,10000,0,0,0
jburkardt,10000,0,0,0
hugen2026-2020s,10000,0,0,0
cblanco,10000,0,0,0
llin,10000,0,0,0
ssant,10000,0,0,0
ybunimovich,10000,0,0,0
yjiang,10000,0,0,0
dpatterson,10000,0,0,0
pcohen,10000,0,0,0
wiser,10000,0,0,0
kbein,10000,0,0,0
kfan,0,0,0,10000
dzandberg,10000,0,0,0
hbadrane,0,0,0,10000
ling1340-2020s,0,0,0,10000
jcatov,10000,0,0,0
qixingliu,10000,0,0,0
stavakoli,10000,0,0,0
phdl,100000,0,0,0
jlaaser,0,50000,0,0
jcape,10000,0,0,0
nbajaj,10000,0,0,0
wruder,10000,0,0,0
kkonstantinos,10000,0,0,0
wdepas,10000,0,0,0
cfernandez,10000,0,0,0
lweiss,0,0,0,10000
pstrick,10000,0,0,0
schang,10000,0,0,0
kprasad,10000,0,0,0
cs1645-2020s,10000,0,0,0
jsilverstein,250000,0,0,0
rairik,10000,0,0,0
arjunc,10000,0,0,0
tsuber,0,0,0,20000
hgomez,10000,0,0,0
mebrahimkani,10000,0,0,0
eschneider,10000,0,0,0
gcamirand,10000,0,0,0
avieira,10000,0,0,0
swhitley,10000,0,0,0
jcarlson,0,0,0,10000
ncremer,10000,0,0,0
khornbostel,10000,0,0,0
mpinsky,10000,0,0,0
anamora,10000,0,0,0
mpecina,0,0,0,10000
zhang3,10000,0,0,0
slittle,10000,0,0,0
bbrown,10000,0,0,0
jyurko,10000,0,0,0
mrfrank,0,0,0,10000
lanauze,0,0,0,10000
adombrovski,50000,0,0,0
wallyyi,10000,0,0,0
hliu,10000,0,0,0
tgelsy,10000,0,0,0
arahimian,0,0,1550000,0
linc,10000,0,0,0
cperfetti,10000,0,0,0
jjoshi,10000,0,0,0
csfeir,10000,0,0,0
korwig,0,0,0,10000
pstephanie,10000,0,0,0
shrec-surg-2020,100000,0,0,0
tlevin,10000,0,0,0
crivka,10000,0,0,0
mmarlies,10000,0,0,0
nbrouwer,10000,0,0,0
pgunarathne,10000,0,0,0
sfarris,10000,0,0,0
balbanna,10000,0,0,0
mgoplerud,375000,0,0,0
ljianhua,10000,0,0,0
jyanowitz,0,0,0,10000
lmcallister,0,0,0,10000
ece2192-2020f,50000,0,0,0
slamitina,0,0,0,10000
khostler,0,10000,0,0
pmayo,0,0,0,10000
lzhang,0,0,0,10000
ckliment,0,0,0,10000
mschmidt,0,0,0,10000
bzhu,0,0,0,10000
lbodnar,0,0,0,40000
dhafeman,0,0,0,10000
pchrysanthis,10000,0,0,0
malikhani,10000,0,0,0
mmarazita,0,0,0,10000
genomics_10x,0,0,0,10000
chem1000-2020f,10000,0,0,0
me2054-2020f,10000,0,0,0
hugen2071-2020f,10000,0,0,0
asaptono,0,0,0,10000
ydong,0,0,0,10000
che2201-2020f,10000,0,0,0
econ3650-2020f,10000,0,0,0
haizenstein,0,0,0,10000
smeriney,0,0,0,10000
scedeno,10000,0,0,0
akline,0,0,0,10000
cladouceur,0,0,0,10000
zfreyberg,0,0,0,10000
sfraundorf,0,0,0,10000
dvillarreal,10000,0,0,0
crinaldo,0,0,0,10000
rpeixoto,0,0,0,10000
kprasadan,0,0,0,10000
ajoglekar,0,0,0,10000
awilson,10000,0,0,0
pzinn,0,0,0,10000
germentrout,10000,0,0,0
zren,20000,0,20000,0
oakilov,0,0,0,10000
xjia,10000,0,0,0
rsweet,0,0,0,10000
mramsey,10000,0,0,0
msharifvaghefi,0,0,1000000,0
rprice,0,0,0,10000
dtudorascu,0,0,0,10000
aparthasarathy,10000,0,0,0
ece2295_2021s,10000,0,0,0
yyanping,0,0,0,10000
djelev,0,0,0,10000
chuang,0,0,0,10000
rckubendran,10000,0,0,0
mfarag,10000,0,0,0
zsiddiqu,0,0,0,10000
jevankovich,0,0,0,10000
ibanerjee,10000,0,0,0
asomasundaram,0,0,0,10000
ehurley,0,0,0,10000
sbadylak,0,0,0,10000
bilitski,10000,0,0,0
aantony,0,0,0,10000
pbrusilosky,10000,0,0,0
mlin,0,0,0,10000
tmeyer,10000,0,0,0
occam,50000,0,0,0
ccdg,0,0,0,10000
jshaffer,0,0,0,10000
cs1645-2020f,10000,0,0,0
minsanally,0,0,0,10000
mwhitley,0,0,0,10000
vbrown,0,0,0,10000
kchen,10000,0,0,0
kdemanelis,0,0,0,10000
lcoffman,0,0,0,10000
pzhou,10000,0,0,0
cmcclung,0,0,0,10000
qding,0,0,0,10000
lsabik,0,0,0,10000
seack,10000,0,0,0
mkrauland,0,0,0,10000
evalenzi,0,0,0,10000
rliang,0,0,0,10000
dmosse,10000,0,0,0
vpetrucci,10000,0,0,0
eswanson,10000,0,0,0
mmcgeachy,0,0,0,10000
fcalabro,0,0,0,10000
ukar,0,0,0,10000
jphillippi,0,0,0,10000
hschwerdt,10000,0,0,0
biosc1640_2021s,10000,0,0,0
hrichie,10000,0,0,0
bioinf2071_2021s,10000,0,0,0
jduraj,0,50000,0,0
acarlson,10000,0,0,0
vkhanna,10000,0,0,0
lyoung,200000,100000,0,500000
aleme,0,0,0,10000
hugen2072-2021s,0,0,0,10000
jbohland,10000,0,0,0
pohodnicki,10000,0,0,0
che1017_2021s,10000,0,0,0
abansal,0,0,0,10000
lmoreland,0,0,0,10000
amugler,10000,0,0,0
skuebbing,2000,8000,0,0
ywang,10000,0,0,0
tzhang,10000,0,0,0
gtrevejonunez,0,0,0,10000
dbain,10000,0,0,0
rpatel,0,0,0,10000
salzaiti,0,0,0,10000
gxiao,0,0,0,10000
inettleship,10000,0,0,0
bbidanda,10000,0,0,0
jvwilliams,0,0,0,10000
me2256_2021s,10000,0,10000,0
wgao,10000,0,0,0
cs2770_2021s,0,40000,0,0
mbhossain,0,0,0,10000
jhlee,0,0,0,10000
cschunn,10000,0,0,0
swoodcock,0,0,0,10000
jyang,10000,0,0,0
jwiezorek,10000,0,0,0
ling2340_2021s,10000,0,0,0
mscbio2066_2021s,20000,0,0,0
ggittes,0,0,0,10000
shaig,10000,0,0,0
rparker,10000,0,0,0
dschaeffer,0,0,0,10000
lvujanovic,0,0,0,10000
cs1645-2021s,0,10000,0,0
mkoenigshoff,0,0,0,10000
utzangrilli,10000,0,0,0
jhwang,0,0,0,10000
ktamama,0,0,0,10000
hsubramanian,0,0,0,10000
yanshanwang,0,0,0,10000
mbertocc,0,0,0,10000
lhelou,10000,0,0,0
lfang,10000,0,0,0
